"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5006","12 - Cambia a un canal diferente de la lista y verifica el cambio","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","29061","03 - Los tabs de Programación son navegables","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","36782","01 - La app carga y está en home screen","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","12712","11 - Tap en el player abre los controles del reproductor","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","3432","14 - El tab CANALES RECIENTES muestra historial de canales vistos","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","1","05 - Cambia a otro canal live y valida el cambio","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","15686","04 - El carousel muestra canales EN VIVO con info de horario","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","2703","09 - EN VIVO muestra un player activo y el canal que se está viendo","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","5321","08 - Entra a la sección EN VIVO desde Explorar","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","2882","10 - La lista de canales muestra nombre de canal, programa y horario","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","15401","07 - Navega al tab Explorar desde el nav bar","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","1969","13 - Canal bloqueado muestra aviso ""solo por TV"" o restricción","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","8799","15 - Sale de la sección EN VIVO y vuelve al home","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","22543","06 - El swipe del carousel avanza y vuelve al canal anterior","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","4465","02 - La sección Programación (Hero EPG) es visible","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
