"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10471","07 - Navega al tab Explorar desde el nav bar","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","1584","10 - Selecciona un canal EN VIVO y verifica que inicia la reproducción","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","12416","11 - Sale del player con botón Atrás y vuelve a Explorar/Home","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","20211","04 - El carousel muestra canales EN VIVO con info de horario","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","21307","03 - Los tabs de Programación son navegables","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","1913","09 - La sección EN VIVO muestra canales disponibles","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","7881","06 - El swipe del carousel avanza y vuelve al canal anterior","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","6940","08 - Entra a la sección EN VIVO desde Explorar","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","38352","01 - La app carga y está en home screen","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","4665","02 - La sección Programación (Hero EPG) es visible","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","23690","05 - Cambia a otro canal live y valida el cambio","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
