"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33290","deberia eliminar el menu autenticado tras el logout","Flujo de Logout","2026-04-14","broken","2026-04-14","","","",""
"","6002","deberia mostrar el menu autenticado con la opcion de cerrar sesion","Flujo de Logout","2026-04-14","passed","2026-04-14","","","",""
"","21168","deberia estar autenticado antes de probar el logout","Flujo de Logout","2026-04-14","passed","2026-04-14","","","",""
"","6118","deberia tapear CERRAR SESION via ADB bounds","Flujo de Logout","2026-04-14","passed","2026-04-14","","","",""
"","13316","deberia tener la app abierta","Flujo de Logout","2026-04-14","passed","2026-04-14","","","",""
"","4776","deberia redirigir a la pantalla de login tras el logout","Flujo de Logout","2026-04-14","passed","2026-04-14","","","",""
