"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5103","deberia estar en la pantalla de Inicio","Navegación — Home","2026-04-09","passed","2026-04-09","","","",""
"","128282","deberia descubrir secciones y navegar 4 sliders aleatorios","Navegación — Home","2026-04-09","passed","2026-04-09","","","",""
"","21637","05 - Cambia a otro canal live y valida el cambio","Hero EPG — Programación","2026-04-09","passed","2026-04-09","","","",""
"","44585","01 - La app carga y está en home screen","Hero EPG — Programación","2026-04-09","passed","2026-04-09","","","",""
"","11346","deberia tener la app abierta","Flujo de Login","2026-04-09","passed","2026-04-09","","","",""
"","17053","deberia hacer click en el tab de Menu de la navbar","Flujo de Login","2026-04-09","passed","2026-04-09","","","",""
"","12567","deberia presionar el boton de ingresar y autenticarse","Flujo de Login","2026-04-09","passed","2026-04-09","","","",""
"","24360","04 - El carousel muestra canales EN VIVO con info de horario","Hero EPG — Programación","2026-04-09","passed","2026-04-09","","","",""
"","6151","03 - Seleccionar un show de los primeros componentes","Explorar → Videos","2026-04-09","passed","2026-04-09","","","",""
"","23338","01 - Navegar al tab Explorar desde el nav bar","Explorar → Videos","2026-04-09","passed","2026-04-09","","","",""
"","3520","deberia mostrar la pantalla de login","Flujo de Login","2026-04-09","passed","2026-04-09","","","",""
"","14551","deberia ingresar email y contrasena correctos","Flujo de Login","2026-04-09","passed","2026-04-09","","","",""
"","36509","deberia mostrar error con contrasena incorrecta","Flujo de Login","2026-04-09","broken","2026-04-09","","","",""
"","6313","06 - El swipe del carousel avanza y vuelve al canal anterior","Hero EPG — Programación","2026-04-09","passed","2026-04-09","","","",""
"","14982","deberia mostrar error con email invalido","Flujo de Login","2026-04-09","passed","2026-04-09","","","",""
"","2362","02 - La sección Programación (Hero EPG) es visible","Hero EPG — Programación","2026-04-09","passed","2026-04-09","","","",""
"","10967","04 - Reproducir un episodio aleatorio del show","Explorar → Videos","2026-04-09","passed","2026-04-09","","","",""
"","12447","03 - Los tabs de Programación son navegables","Hero EPG — Programación","2026-04-09","passed","2026-04-09","","","",""
"","4635","02 - Entrar a la sección Videos","Explorar → Videos","2026-04-09","passed","2026-04-09","","","",""
"","5305","deberia scrollear al inicio del home","Navegación — Home","2026-04-09","passed","2026-04-09","","","",""
