"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3766","deberia tener la app abierta","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","19688","deberia estar en la pantalla de Inicio","Navegación — Home","2026-04-14","passed","2026-04-14","","","",""
"","58649","deberia mostrar error con contrasena incorrecta","Flujo de Login","2026-04-14","broken","2026-04-14","","","",""
"","22887","deberia ingresar email y contrasena correctos","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","17500","deberia hacer click en el tab de Menu de la navbar","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","45073","deberia presionar el boton de ingresar y autenticarse","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","119162","deberia descubrir secciones y navegar 4 sliders aleatorios","Navegación — Home","2026-04-14","passed","2026-04-14","","","",""
"","5674","deberia scrollear al inicio del home","Navegación — Home","2026-04-14","passed","2026-04-14","","","",""
"","16307","deberia mostrar error con email invalido","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","8854","deberia mostrar la pantalla de login","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
