"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","133627","deberia descubrir secciones y navegar 4 sliders aleatorios","Navegación — Home","2026-04-10","passed","2026-04-10","","","",""
"","126462","deberia mostrar error con contrasena incorrecta","Flujo de Login","2026-04-10","broken","2026-04-10","","","",""
"","12543","deberia tener la app abierta","Flujo de Login","2026-04-10","passed","2026-04-10","","","",""
"","24900","04 - El carousel muestra canales EN VIVO con info de horario","Hero EPG — Programación","2026-04-10","passed","2026-04-10","","","",""
"","10447","04 - Reproducir un episodio aleatorio del show","Explorar → Videos","2026-04-10","passed","2026-04-10","","","",""
"","45087","01 - La app carga y está en home screen","Hero EPG — Programación","2026-04-10","passed","2026-04-10","","","",""
"","6425","03 - Seleccionar un show de los primeros componentes","Explorar → Videos","2026-04-10","passed","2026-04-10","","","",""
"","5337","deberia scrollear al inicio del home","Navegación — Home","2026-04-10","passed","2026-04-10","","","",""
"","16621","deberia ingresar email y contrasena correctos","Flujo de Login","2026-04-10","passed","2026-04-10","","","",""
"","6933","06 - El swipe del carousel avanza y vuelve al canal anterior","Hero EPG — Programación","2026-04-10","passed","2026-04-10","","","",""
"","12497","03 - Los tabs de Programación son navegables","Hero EPG — Programación","2026-04-10","passed","2026-04-10","","","",""
"","3401","deberia mostrar la pantalla de login","Flujo de Login","2026-04-10","passed","2026-04-10","","","",""
"","5204","deberia estar en la pantalla de Inicio","Navegación — Home","2026-04-10","passed","2026-04-10","","","",""
"","5592","02 - Entrar a la sección Videos","Explorar → Videos","2026-04-10","passed","2026-04-10","","","",""
"","22036","05 - Cambia a otro canal live y valida el cambio","Hero EPG — Programación","2026-04-10","passed","2026-04-10","","","",""
"","18041","deberia hacer click en el tab de Menu de la navbar","Flujo de Login","2026-04-10","passed","2026-04-10","","","",""
"","10660","deberia presionar el boton de ingresar y autenticarse","Flujo de Login","2026-04-10","passed","2026-04-10","","","",""
"","15937","deberia mostrar error con email invalido","Flujo de Login","2026-04-10","passed","2026-04-10","","","",""
"","1764","02 - La sección Programación (Hero EPG) es visible","Hero EPG — Programación","2026-04-10","passed","2026-04-10","","","",""
"","21789","01 - Navegar al tab Explorar desde el nav bar","Explorar → Videos","2026-04-10","passed","2026-04-10","","","",""
