"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12721","deberia tener la app abierta","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","12955","deberia presionar el boton de ingresar y autenticarse","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","9974","deberia mostrar la pantalla de login","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","19984","deberia mostrar error con email invalido","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","3593","deberia estar en la pantalla de Inicio","Navegación — Home","2026-04-14","passed","2026-04-14","","","",""
"","5463","deberia descubrir secciones y navegar 4 sliders aleatorios","Navegación — Home","2026-04-14","broken","2026-04-14","","","",""
"","3489","deberia scrollear al inicio del home","Navegación — Home","2026-04-14","passed","2026-04-14","","","",""
"","16271","deberia ingresar email y contrasena correctos","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","18471","deberia hacer click en el tab de Menu de la navbar","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","61144","deberia mostrar error con contrasena incorrecta","Flujo de Login","2026-04-14","broken","2026-04-14","","","",""
