"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16016","12 - Cambia a un canal diferente de la lista y verifica el cambio","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","4583","10 - La lista de canales muestra nombre de canal, programa y horario","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","21328","07 - Navega al tab Explorar desde el nav bar","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","2711","02 - La sección Programación (Hero EPG) es visible","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","7873","13 - Canal bloqueado muestra aviso ""solo por TV"" o restricción","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","3914","09 - EN VIVO muestra un player activo y el canal que se está viendo","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","13683","15 - Sale de la sección EN VIVO y vuelve al home","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","28961","11 - Tap en el player abre los controles del reproductor","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","43661","01 - La app carga y está en home screen","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","23873","05 - Cambia a otro canal live y valida el cambio","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","14937","14 - El tab CANALES RECIENTES muestra historial de canales vistos","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","15468","03 - Los tabs de Programación son navegables","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","9946","06 - El swipe del carousel avanza y vuelve al canal anterior","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","7078","08 - Entra a la sección EN VIVO desde Explorar","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","22035","04 - El carousel muestra canales EN VIVO con info de horario","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
