"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32119","deberia mostrar error con contrasena incorrecta","Flujo de Login","2026-04-14","broken","2026-04-14","","","",""
"","9262","02 - La sección Programación (Hero EPG) es visible","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","8853","02 - Entrar a la sección Videos","Explorar → Videos","2026-04-14","passed","2026-04-14","","","",""
"","20366","01 - La app carga y está en home screen","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","24299","05 - Cambia a otro canal live y valida el cambio","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","4970","deberia estar en la pantalla de Inicio","Navegación — Home","2026-04-14","passed","2026-04-14","","","",""
"","16411","04 - Reproducir un episodio aleatorio del show","Explorar → Videos","2026-04-14","passed","2026-04-14","","","",""
"","7859","06 - El swipe del carousel avanza y vuelve al canal anterior","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","2269","02 - La sección Programación (Hero EPG) es visible","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","18254","deberia hacer click en el tab de Menu de la navbar","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","13088","03 - Los tabs de Programación son navegables","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","9399","deberia mostrar la pantalla de login","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","17888","deberia mostrar error con email invalido","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","25417","05 - Cambia a otro canal live y valida el cambio","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","53064","01 - La app carga y está en home screen","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","12869","deberia tener la app abierta","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","16730","03 - Los tabs de Programación son navegables","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","126787","deberia descubrir secciones y navegar 4 sliders aleatorios","Navegación — Home","2026-04-14","passed","2026-04-14","","","",""
"","20071","04 - El carousel muestra canales EN VIVO con info de horario","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","35961","01 - Navegar al tab Explorar desde el nav bar","Explorar → Videos","2026-04-14","passed","2026-04-14","","","",""
"","24394","04 - El carousel muestra canales EN VIVO con info de horario","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","16770","deberia ingresar email y contrasena correctos","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","34654","deberia presionar el boton de ingresar y autenticarse","Flujo de Login","2026-04-14","passed","2026-04-14","","","",""
"","11541","03 - Seleccionar un show de los primeros componentes","Explorar → Videos","2026-04-14","passed","2026-04-14","","","",""
"","7073","deberia scrollear al inicio del home","Navegación — Home","2026-04-14","passed","2026-04-14","","","",""
"","11410","06 - El swipe del carousel avanza y vuelve al canal anterior","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
