"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35168","03 - Los tabs de Programación son navegables","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","843","11 - Tap en el player abre los controles del reproductor","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","2","05 - Cambia a otro canal live y valida el cambio","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","8949","02 - La sección Programación (Hero EPG) es visible","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","6264","08 - Entra a la sección EN VIVO desde Explorar","Hero EPG — Programación","2026-04-14","broken","2026-04-14","","","",""
"","2294","04 - El carousel muestra canales EN VIVO con info de horario","Hero EPG — Programación","2026-04-14","failed","2026-04-14","","","",""
"","4197","06 - El swipe del carousel avanza y vuelve al canal anterior","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","72243","01 - La app carga y está en home screen","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","1010","07 - Navega al tab Explorar desde el nav bar","Hero EPG — Programación","2026-04-14","broken","2026-04-14","","","",""
"","2357","13 - Canal bloqueado muestra aviso ""solo por TV"" o restricción","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","5436","15 - Sale de la sección EN VIVO y vuelve al home","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","2290","14 - El tab CANALES RECIENTES muestra historial de canales vistos","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","164","12 - Cambia a un canal diferente de la lista y verifica el cambio","Hero EPG — Programación","2026-04-14","passed","2026-04-14","","","",""
"","1690","09 - EN VIVO muestra un player activo y el canal que se está viendo","Hero EPG — Programación","2026-04-14","failed","2026-04-14","","","",""
"","2000","10 - La lista de canales muestra nombre de canal, programa y horario","Hero EPG — Programación","2026-04-14","failed","2026-04-14","","","",""
